text,disease
I've been dealing with fatigue and joint pain and it is getting worse.,Hepatitis B
"Experiencing muscle stiffness, slow movement, soft voice",Parkinson's Disease
Clinical notes: Patient presenting with fluid draining from ear and fever.,Otitis Media
Feeling shortness of breath,Heart Attack
"I have round moon face, weight gain around abdomen, easy bruising and high blood pressure, what could this be?",Cushing's Syndrome
"Over the last 48 hours, I noticed blood in urine and low-grade fever.",Acute Cystitis
"I cannot sleep because of burning sensation in eyes, stinging eyes, stringy mucus in eyes and blurred vision after reading.",Dry Eye Syndrome
"Woke up today with abrupt high fever, muscle pain and headache.",Chikungunya
"Doctor, I've had widespread musculoskeletal pain, chronic fatigue, sleep disturbances",Fibromyalgia
"It started yesterday with profuse watery diarrhea, sunken eyes and low blood pressure.",Cholera
"Over the last 48 hours, I noticed dry mouth and dizziness upon standing.",Dehydration
"Suffering from recurrent abdominal cramps, fatigue, rectal bleeding",Crohn's Disease
"Doctor, I've had dull aching head pain, scalp tenderness, neck stiffness",Tension Headache
"Lately I have been feeling electric shock sensations, tremor and vision loss in one eye.",Multiple Sclerosis
It started yesterday with chronic cough and chest tightness.,COPD
"Patient presenting with resting tremor, slow movement, impaired balance",Parkinson's Disease
"Noticed severe heat intolerance, sweating, bulging eyes",Hyperthyroidism
"I feel terrible with pain behind the eyes, skin rash and mild bleeding.",Dengue Fever
"I have bloating, weight loss, skin rash",Celiac Disease
"Lately I have been feeling cough, runny nose and blotchy skin rash.",Measles
"Over the last 48 hours, I noticed shivering chills, profuse sweating and headache.",Malaria
Lately I have been feeling tiredness and red spots on skin.,Chickenpox
I have coughing blood,Tuberculosis
"Woke up today with unexplained weight gain, dry skin, muscle weakness and brittle hair.",Hypothyroidism
I have fatigue,Lyme Disease
Feeling nausea,Hepatitis B
"Suffering from severe sharp flank pain, nausea, painful urination",Kidney Stones
I cannot sleep because of fatigue and mouth sores.,Crohn's Disease
"Clinical notes: Patient presenting with extreme fatigue, low blood pressure, salt cravings and dizziness.",Addison's Disease
"I have wheezing, shortness of breath, persistent cough and difficulty breathing, what could this be?",Asthma
I cannot sleep because of excruciating pain around one eye and eye redness.,Cluster Headache
"Suffering from intense skin itching, dry cracked skin patches, red to brownish-gray patches and small raised bumps, need medical guidance.",Eczema
Feeling watery diarrhea,Gastroenteritis
"Over the last 48 hours, I noticed swelling in legs and ankles and wheezing.",Heart Failure
"I have nausea, pale stools and yellowing of skin and eyes, what could this be?",Hepatitis A
I cannot sleep because of pressure in chest relieved by rest and nausea.,Angina Pectoris
I've been dealing with burning sensation when urinating and pelvic pressure and it is getting worse.,Urinary Tract Infection
Feeling intense itching worse at night,Scabies
Experiencing temporary numbness on one side,Transient Ischemic Attack (TIA)
I have muscle cramps and spasms,Electrolyte Imbalance
Experiencing acute visible broken blood vessels and eye irritation.,Rosacea
Experiencing chest pain on deep inhalation,Pleural Effusion
Experiencing heat intolerance,Hyperthyroidism
"Suffering from chronic cough, shortness of breath with exertion, wheezing",COPD
"Feeling shortness of breath, sore throat, body aches",COVID-19
"Doctor, I've had slow movement, impaired balance, shuffling gait",Parkinson's Disease
"I'm experiencing bleeding gums, fatigue and slow wound healing.",Scurvy
"My main issues right now are tingling in hands and feet, smooth red tongue, unsteady balance and pale or jaundiced skin.",Vitamin B12 Deficiency
"I have loss of taste or smell and sore throat, what could this be?",COVID-19
I have red watery eyes,Measles
"Feeling cyclical high fever, shivering chills, headache",Malaria
"It started yesterday with sudden shortness of breath, sharp chest pain on breathing and dizziness.",Pulmonary Embolism
"Patient presenting with gradual loss of peripheral vision, tunnel vision in advanced stages, blurred vision",Glaucoma
"Suffering from round moon face, easy bruising and high blood pressure, need medical guidance.",Cushing's Syndrome
"Been having facial pain, nasal congestion, pressure around eyes",Sinusitis
"Over the last 48 hours, I noticed visual flashes, tingling in face or hands, throbbing head pain and light sensitivity.",Migraine with Aura
"Patient presenting with fatigue, sore throat, body aches",COVID-19
I'm experiencing widespread musculoskeletal pain and sleep disturbances.,Fibromyalgia
Feeling restlessness,Generalized Anxiety Disorder
"Feeling hyperpigmentation (darkened skin), salt cravings, nausea",Addison's Disease
"Patient presenting with nausea, bloating, loss of appetite",Gastritis
Experiencing chronic fatigue,Vitamin D Deficiency
Clinical notes: Patient presenting with mild fever and wheezing.,Bronchitis
"Clinical notes: Patient presenting with scaly skin, skin peeling and cracked skin.",Fungal Skin Infection
I have loss of interest in hobbies,Major Depressive Disorder
"Been having itchy fluid-filled blisters, tiredness, loss of appetite",Chickenpox
"Suffering from chronic cough, wheezing, fatigue",COPD
"Lately I have been feeling lower abdominal pressure, blood in urine and low-grade fever.",Acute Cystitis
"My main issues right now are crushing chest pain, cold sweat, severe nausea and dizziness.",Heart Attack
"Woke up today with irregular periods, severe acne and ovarian cysts.",Polycystic Ovary Syndrome
"Noticed severe bone pain, chronic fatigue, low mood",Vitamin D Deficiency
Feeling waking up too early,Insomnia Disorder
Feeling chronic fatigue,Vitamin D Deficiency
I have poor night vision,Cataract
I have bright red rectal bleeding,Hemorrhoids
"I've been dealing with muscle cramps and spasms, dizziness and numbness in fingers and it is getting worse.",Electrolyte Imbalance
"Feeling red swollen tonsils, painful swallowing, enlarged tender neck nodes",Tonsillitis
"Patient presenting with irregular heartbeat, dizziness, extreme fatigue",Electrolyte Imbalance
Patient reports vomiting and indigestion after fatty meals with increasing discomfort.,Gallstones
Woke up today with unsteady balance and pale or jaundiced skin.,Vitamin B12 Deficiency
"Lately I have been feeling hard dry stools, abdominal fullness and bloating.",Constipation
"Patient reports prolonged step-ladder fever, headache and constipation or diarrhea with increasing discomfort.",Typhoid Fever
"Doctor, I've had stiff neck and swollen lymph nodes for the past few days.",Lyme Disease
"Clinical notes: Patient presenting with dizziness on standing, brain fog, trembling and extreme fatigue.",Postural Orthostatic Tachycardia (POTS)
"Doctor, I've had loud snoring and dry mouth on waking for the past few days.",Sleep Apnea
"I've been dealing with morning headache, dizziness and nosebleeds and it is getting worse.",Hypertension
Experiencing acute bleeding gums and slow wound healing.,Scurvy
"Woke up today with high fever, runny nose, red watery eyes and blotchy skin rash.",Measles
Feeling yellowing of skin and eyes,Hepatitis B
I have tiny white spots inside mouth,Measles
Lately I have been feeling shortness of breath and rapid breathing.,Pneumonia
"Over the last 48 hours, I noticed fever, headache, anxiety and agitation.",Rabies Exposure
"Patient presenting with mucus production, chest discomfort, mild fever",Bronchitis
It started yesterday with cloudy or blurry vision and poor night vision.,Cataract
"Suffering from mild chronic anemia and microcytic red blood cells on lab work, need medical guidance.",Thalassemia Minor
Feeling headache,Chickenpox
"I'm experiencing tingling in hands and feet, fatigue, memory problems and unsteady balance.",Vitamin B12 Deficiency
"Been having sudden facial drooping, sudden severe headache, vision loss",Stroke
Experiencing acute temporary numbness on one side and temporary dizziness.,Transient Ischemic Attack (TIA)
"I have burning stomach pain between meals, nausea, dark stools",Peptic Ulcer
"Experiencing acute fever, constipation and abdominal tenderness.",Diverticulitis
"I feel terrible with burning stomach pain between meals, feeling full too quickly, bloating and unexplained weight loss.",Peptic Ulcer
"Clinical notes: Patient presenting with restlessness, muscle tension, difficulty concentrating and sleep disturbance.",Generalized Anxiety Disorder
Feeling muscle stiffness,Parkinson's Disease
I feel terrible with persistent fatigue and rapid weight gain from fluid.,Heart Failure
"I have chills, fatigue, sore throat",Influenza
"Doctor, I've had pain relieved by sitting up and leaning forward and heart palpitations for the past few days.",Pericarditis
"I have large waist circumference and high triglycerides, what could this be?",Metabolic Syndrome
Woke up today with skin warm to touch and blisters over red area.,Cellulitis
"I feel terrible with loss of voice, tickling sensation in throat and dry throat.",Laryngitis
"Clinical notes: Patient presenting with visual flashes, throbbing head pain and light sensitivity.",Migraine with Aura
It started yesterday with lower abdominal pressure and blood in urine.,Acute Cystitis
"Doctor, I've had easy or excessive bruising, petechiae (superficial pinpoint purple spots on skin) and bleeding gums for the past few days.",Thrombocytopenia
Clinical notes: Patient presenting with frequent urge to urinate and pelvic pressure.,Urinary Tract Infection
"Doctor, I've had round moon face, purple stretch marks, high blood pressure and muscle weakness for the past few days.",Cushing's Syndrome
Experiencing acute dizziness on standing and brain fog.,Postural Orthostatic Tachycardia (POTS)
I feel terrible with unintended weight loss and sweating.,Hyperthyroidism
"Doctor, I've had bloating, gas, weight loss",Celiac Disease
"Feeling shortness of breath with exertion, wheezing, fatigue",COPD
Woke up today with nausea and dark urine.,Hepatitis A
"I feel terrible with thinning hair on scalp, weight gain and ovarian cysts.",Polycystic Ovary Syndrome
I have dizziness,Hypertension
Feeling nasal congestion on one side,Cluster Headache
Feeling nausea,Malaria
"Doctor, I've had rectal pain, weight loss, fever",Ulcerative Colitis
"I'm experiencing nausea, bloating and loss of appetite.",Gastritis
"Feeling changes in appetite or weight, feelings of worthlessness, difficulty sleeping",Major Depressive Disorder
Clinical notes: Patient presenting with shortness of breath when lying flat and wheezing.,Heart Failure
Experiencing mild swelling,Tendinitis
"Experiencing acute difficulty falling asleep, waking up too early and daytime fatigue.",Insomnia Disorder
"Noticed severe sudden one-sided facial paralysis, drooping mouth, drooling",Bell's Palsy
Feeling foamy urine,Glomerulonephritis
I feel terrible with intense itching and burning sensation on skin.,Urticaria
"Over the last 48 hours, I noticed dark yellow urine and dry mouth.",Dehydration
"I have dizziness and extreme fatigue, what could this be?",Electrolyte Imbalance
"Suffering from fever, constipation, abdominal tenderness",Diverticulitis
I'm experiencing crushing chest pain and severe nausea.,Heart Attack
Experiencing blood in urine,Acute Cystitis
"Suffering from extreme thirst, dark yellow urine, dizziness upon standing and infrequent urination, need medical guidance.",Dehydration
Experiencing swelling or lump near anus,Hemorrhoids
"I feel terrible with fatigue, unexplained weight gain, cold intolerance and dry skin.",Hypothyroidism
"Over the last 48 hours, I noticed persistent sad empty mood and fatigue.",Major Depressive Disorder
Experiencing watery diarrhea,Gastroenteritis
I have yellowing of skin and eyes,Hepatitis B
Experiencing temporary confusion,Epilepsy
"My main issues right now are frequent nighttime urination, slow-healing cuts, fatigue and darkened skin patches.",Diabetes Type 2
Feeling fatigue,Aortic Stenosis
"I've been dealing with red rash localized to area of contact, severe itching, dry cracked scaly skin and burning sensation and it is getting worse.",Contact Dermatitis
I have tenderness to touch,Pancreatitis
I've been dealing with pounding racing heart and feeling of choking and it is getting worse.,Panic Disorder
"Over the last 48 hours, I noticed fluttering in chest and lightheadedness.",Arrhythmia
It started yesterday with extreme fatigue and low blood pressure.,Addison's Disease
"Lately I have been feeling facial pain, headache and pressure around eyes.",Sinusitis
Clinical notes: Patient presenting with muscle stiffness and soft voice.,Parkinson's Disease
"Patient reports irregular heartbeat, confusion and extreme fatigue with increasing discomfort.",Electrolyte Imbalance
"Experiencing acute severe headache, pain behind the eyes, joint and muscle ache and skin rash.",Dengue Fever
"Doctor, I've had scalp tenderness, neck stiffness, shoulder tension",Tension Headache
I have visible broken blood vessels,Rosacea
Experiencing warmth in affected leg,Deep Vein Thrombosis
"Feeling fatigue, abdominal pain, dark urine",Hepatitis A
"Lately I have been feeling rapid heart rate upon standing, brain fog, trembling and palpitations.",Postural Orthostatic Tachycardia (POTS)
I have extreme fatigue,Typhoid Fever
I have loss of appetite,Chickenpox
Feeling dizziness,Migraine
"Over the last 48 hours, I noticed red to brownish-gray patches and raw sensitive skin from scratching.",Eczema
Feeling nausea,Kidney Stones
I have loss of appetite,Appendicitis
"Over the last 48 hours, I noticed sudden shortness of breath, coughing blood and dizziness.",Pulmonary Embolism
Feeling soft voice,Parkinson's Disease
"Experiencing acute bloating, weight loss, fatigue and skin rash.",Celiac Disease
"Feeling extreme fatigue, weakness, brittle nails",Iron Deficiency Anemia
"Suffering from sudden high fever, joint and muscle ache, skin rash and mild bleeding, need medical guidance.",Dengue Fever
Feeling gas,Irritable Bowel Syndrome
"I feel terrible with frequent urination, unintended weight loss and blurred vision.",Diabetes Type 1
Experiencing acute shortness of breath and persistent cough.,Asthma
"Woke up today with tenderness to touch, mild swelling and joint stiffness near shoulder elbow or heel.",Tendinitis
"Over the last 48 hours, I noticed bone pain, muscle weakness, low mood and hair loss.",Vitamin D Deficiency
Feeling loss of taste or smell,COVID-19
Clinical notes: Patient presenting with squeezing chest pain with physical exertion and pressure in chest relieved by rest.,Angina Pectoris
"Doctor, I've had severe sharp flank pain, blood in urine and painful urination for the past few days.",Kidney Stones
"I have constant severe lower left abdominal pain, fever, constipation and bloating, what could this be?",Diverticulitis
"It started yesterday with chills, body ache, headache and sore throat.",Influenza
"I have gradual numbness in feet, burning pain in hands, extreme sensitivity to touch",Peripheral Neuropathy
"Clinical notes: Patient presenting with animal bite on skin, tingling around bite site, anxiety and agitation.",Rabies Exposure
Feeling cramping leg pain when walking (claudication),Peripheral Artery Disease
"Suffering from yellowing of skin and eyes, joint pain and nausea, need medical guidance.",Hepatitis B
I cannot sleep because of abdominal pain and yellowing of skin and eyes.,Hepatitis A
"Suffering from muscle cramps and spasms, irregular heartbeat, dizziness and numbness in fingers, need medical guidance.",Electrolyte Imbalance
"Suffering from visual flashes and light sensitivity, need medical guidance.",Migraine with Aura
"Woke up today with abrupt high fever, severe crippling joint pain, joint swelling and headache.",Chikungunya
Patient reports itchy roof of mouth and nasal congestion with increasing discomfort.,Allergic Rhinitis
"I have dry cracked scaly skin and bumps and blisters, what could this be?",Contact Dermatitis
"Doctor, I've had red swollen tonsils, painful swallowing, fever",Tonsillitis
I'm experiencing coughing blood and fever.,Tuberculosis
"I've been dealing with gradual numbness in feet, tingling sensations and muscle weakness and it is getting worse.",Peripheral Neuropathy
Experiencing dry throat,Laryngitis
"I cannot sleep because of shortness of breath when lying flat, persistent fatigue and rapid weight gain from fluid.",Heart Failure
"Doctor, I've had numbness in limbs, electric shock sensations, tremor",Multiple Sclerosis
Experiencing persistent excessive worry,Generalized Anxiety Disorder
Experiencing slight fatigue,Thalassemia Minor
"Clinical notes: Patient presenting with mild chronic anemia, slight fatigue and microcytic red blood cells on lab work.",Thalassemia Minor
My main issues right now are swollen lymph nodes in neck and headache.,Mononucleosis
"I have breathlessness with exercise, chest tightness during activity, heart murmur and fatigue, what could this be?",Aortic Stenosis
"Lately I have been feeling chronic cough, shortness of breath with exertion and wheezing.",COPD
Feeling pain when bladder fills,Interstitial Cystitis
I have extreme fatigue,Addison's Disease
"Patient presenting with stomach cramps, nausea, vomiting",Gastroenteritis
"Been having cyclical high fever, headache, nausea",Malaria
"Experiencing acute persistent cough for more than 3 weeks, night sweats and fever.",Tuberculosis
My main issues right now are slight fatigue and pale appearance.,Thalassemia Minor
"Suffering from pain radiating to right shoulder, nausea, indigestion after fatty meals",Gallstones
I'm experiencing smooth red tongue and unsteady balance.,Vitamin B12 Deficiency
Clinical notes: Patient presenting with weight loss and fever.,Ulcerative Colitis
"Doctor, I've had white or yellow coating on tonsils, painful swallowing and fever for the past few days.",Tonsillitis
"Experiencing shortness of breath when lying flat, persistent fatigue, rapid weight gain from fluid",Heart Failure
Experiencing acute slurred speech and loss of balance.,Stroke
"Noticed severe bloating, gas, food intolerance",Irritable Bowel Syndrome
"I cannot sleep because of sharp lower right abdominal pain, vomiting, low-grade fever and rebound tenderness.",Appendicitis
Woke up today with severe sharp flank pain and pain radiating to lower abdomen and groin.,Kidney Stones
"Suffering from shortness of breath and chills, need medical guidance.",Pneumonia
"Been having bullseye skin rash, fatigue, stiff neck",Lyme Disease
"Over the last 48 hours, I noticed extreme fatigue, weakness, cold hands and feet and shortness of breath with mild exertion.",Iron Deficiency Anemia
"Doctor, I've had gradual loss of height over time and back pain caused by collapsed vertebra for the past few days.",Osteoporosis
"Suffering from severe upper abdominal pain radiating to back, fever, tenderness to touch",Pancreatitis
"I'm experiencing extreme fatigue, cold hands and feet and brittle nails.",Iron Deficiency Anemia
"Doctor, I've had high fever, flank pain on one side, nausea",Pyelonephritis
I have high fever,Pneumonia
Lately I have been feeling cough and runny nose.,Measles
Feeling arm weakness,Transient Ischemic Attack (TIA)
"Feeling gradual loss of peripheral vision, tunnel vision in advanced stages, severe eye pain with halo around lights",Glaucoma
"Doctor, I've had breathlessness with exercise, chest tightness during activity and fainting or dizziness upon standing for the past few days.",Aortic Stenosis
Clinical notes: Patient presenting with chronic dry cough and sour taste in mouth.,GERD
It started yesterday with intense fear of social interactions and avoidance of social situations.,Social Anxiety Disorder
Feeling rapidly expanding redness,Cellulitis
"Been having mucus production, mild fever, fatigue",Bronchitis
"It started yesterday with vomiting, rapid pulse and fever.",Pancreatitis
"Patient reports loss of interest in hobbies, fatigue and feelings of worthlessness with increasing discomfort.",Major Depressive Disorder
"Been having frequent infections, chronic fatigue, low mood",Vitamin D Deficiency
Experiencing fever,Cellulitis
"I've been dealing with persistent cough, mucus production, fatigue and wheezing and it is getting worse.",Bronchitis
"I've been dealing with burning pain in hands, tingling sensations and extreme sensitivity to touch and it is getting worse.",Peripheral Neuropathy
"Lately I have been feeling extreme fatigue, weakness and shortness of breath with mild exertion.",Iron Deficiency Anemia
"Doctor, I've had cyclical high fever, shivering chills and nausea for the past few days.",Malaria
Experiencing neck stiffness,Tension Headache
"It started yesterday with circular red itchy rash with raised edges, clear skin in center of ring and skin peeling.",Fungal Skin Infection
Experiencing bullseye skin rash,Lyme Disease
I've been dealing with pain during bowel movements and swelling or lump near anus and it is getting worse.,Hemorrhoids
It started yesterday with itching or burning skin and pitted thickened nails.,Psoriasis
"Woke up today with pink or cola-colored urine, high blood pressure and facial puffiness in mornings.",Glomerulonephritis
"Feeling hoarseness, tickling sensation in throat, dry cough",Laryngitis
"Doctor, I've had joint aching or stiffness and pain with joint pressure for the past few days.",Bursitis
"Suffering from burning sensation when urinating, cloudy urine, pelvic pressure",Urinary Tract Infection
"Doctor, I've had sudden one-sided facial paralysis and drooping mouth for the past few days.",Bell's Palsy
"Experiencing acute shivering chills, profuse sweating, headache and body ache.",Malaria
I have neck pain and stiffness,Cervical Spondylosis
"Clinical notes: Patient presenting with fatigue, changes in appetite or weight and feelings of worthlessness.",Major Depressive Disorder
"Experiencing confusion, dizziness, extreme fatigue",Electrolyte Imbalance
"My main issues right now are shortness of breath, severe nausea and dizziness.",Heart Attack
"Noticed severe rapid heart rate upon standing, dizziness on standing, brain fog",Postural Orthostatic Tachycardia (POTS)
I feel terrible with fatigue and darkened skin patches.,Diabetes Type 2
"My main issues right now are round coin-sized smooth bald patches on scalp, sudden hair loss and pitted fingernails.",Alopecia Areata
My main issues right now are pain triggered by chewing or brushing teeth and spontaneous facial spasms.,Trigeminal Neuralgia
"Patient presenting with sweating, dizziness, blurred vision",Hypoglycemia
"It started yesterday with faded colors, glare and halos around headlights and poor night vision.",Cataract
Feeling high fever,Influenza
"I'm experiencing dry cough, fatigue, shortness of breath and sore throat.",COVID-19
"Experiencing acute sharp lower right abdominal pain, low-grade fever, loss of appetite and rebound tenderness.",Appendicitis
"Patient presenting with rapid dehydration, muscle cramps, low blood pressure",Cholera
"Suffering from restlessness, difficulty concentrating, irritability",Generalized Anxiety Disorder
Experiencing acute anxiety and agitation.,Rabies Exposure
"I've been dealing with thick nasal discharge, headache and reduced smell and it is getting worse.",Sinusitis
"Over the last 48 hours, I noticed smooth red tongue, memory problems and unsteady balance.",Vitamin B12 Deficiency
"Noticed severe shortness of breath, chills, fatigue",Pneumonia
"Over the last 48 hours, I noticed confusion and dizziness.",Electrolyte Imbalance
"Patient presenting with sudden severe pain in upper right abdomen, vomiting, indigestion after fatty meals",Gallstones
"Suffering from squeezing chest pain with physical exertion, pressure in chest relieved by rest and shortness of breath, need medical guidance.",Angina Pectoris
Feeling slight liver enlargement,Fatty Liver Disease
I have sudden intense joint pain in big toe,Gout
Clinical notes: Patient presenting with sweating and hunger.,Hypoglycemia
Feeling abdominal fullness,Constipation
"Experiencing acute fever, nausea, bloating and abdominal tenderness.",Diverticulitis
"Experiencing acute throbbing calf pain, warmth in affected leg and redness of skin on leg.",Deep Vein Thrombosis
"I feel terrible with fever, body aches and swollen lymph nodes.",Lyme Disease
"Suffering from bleeding gums, joint and muscle aches, fatigue",Scurvy
"Over the last 48 hours, I noticed hard dry stools, feeling of incomplete evacuation and abdominal fullness.",Constipation
"Woke up today with neck pain and stiffness, tingling or numbness in arms or fingers, headache starting at back of neck and grinding noise when turning neck.",Cervical Spondylosis
"I feel terrible with pink or cola-colored urine, high blood pressure and swollen ankles.",Glomerulonephritis
Experiencing acute racing heartbeat and lightheadedness.,Arrhythmia
"Suffering from racing heartbeat, lightheadedness, fainting episodes",Arrhythmia
Experiencing pain during intercourse,Interstitial Cystitis
"Suffering from extreme thirst and dark yellow urine, need medical guidance.",Dehydration
Experiencing fever,Mononucleosis
Feeling slurred speech,Stroke
"Suffering from bloating and food intolerance, need medical guidance.",Irritable Bowel Syndrome
I have dark urine,Hepatitis B
"Suffering from crushing chest pain, shortness of breath, severe nausea",Heart Attack
"Doctor, I've had foamy urine and nausea for the past few days.",Chronic Kidney Disease
Lately I have been feeling bullseye skin rash and fatigue.,Lyme Disease
"Been having visual flashes, blind spots, tingling in face or hands",Migraine with Aura
"Suffering from corkscrew body hair, joint and muscle aches, slow wound healing",Scurvy
Clinical notes: Patient presenting with increased thirst and fatigue.,Diabetes Type 2
"It started yesterday with nausea, sound sensitivity and dizziness.",Migraine
"Noticed severe racing heartbeat, slow heartbeat, lightheadedness",Arrhythmia
Experiencing acute dark urine and yellowing of skin and eyes.,Hepatitis A
"Over the last 48 hours, I noticed confusion, dizziness and extreme fatigue.",Electrolyte Imbalance
Experiencing swelling and redness of big toe,Gout
Feeling abdominal pain,Hepatitis A
"Suffering from joint aches, jaundice, loss of appetite",Hepatitis C
"Noticed severe persistent cough for more than 3 weeks, chest pain, fever",Tuberculosis
"Experiencing acute shortness of breath, pain radiating to jaw or left arm and lightheadedness.",Coronary Artery Disease
I have extreme fatigue,Electrolyte Imbalance
"Suffering from slurred speech, sudden severe headache, vision loss",Stroke
"I have shivering chills, nausea and painful frequent urination, what could this be?",Pyelonephritis
"Lately I have been feeling extreme thirst, fatigue and blurred vision.",Diabetes Type 1
Feeling tearing,Cluster Headache
"I've been dealing with cramping abdominal pain, rectal pain and fever and it is getting worse.",Ulcerative Colitis
Experiencing feeling of fullness in ear,Otitis Media
"Experiencing mucus production, chest discomfort, fatigue",Bronchitis
"My main issues right now are sudden one-sided facial paralysis, drooping mouth and loss of taste.",Bell's Palsy
Experiencing acute chest pain and fever.,Tuberculosis
"I'm experiencing recurrent abdominal cramps, weight loss, fatigue and rectal bleeding.",Crohn's Disease
"Doctor, I've had red rash localized to area of contact, dry cracked scaly skin, burning sensation",Contact Dermatitis
Feeling sharp ear pain,Otitis Media
"Suffering from feeling full too quickly, nausea, dark stools",Peptic Ulcer
My main issues right now are nausea and loss of appetite.,Gastritis
"Feeling emotional exhaustion, cynicism and detachment, reduced personal accomplishment",Chronic Stress / Burnout
"Noticed severe dry cough, loss of taste or smell, shortness of breath",COVID-19
Experiencing irritability,Otitis Media
"Lately I have been feeling persistent cough for more than 3 weeks, unexplained weight loss and chest pain.",Tuberculosis
Lately I have been feeling pale skin and shortness of breath with mild exertion.,Iron Deficiency Anemia
"Noticed severe transient vision loss, temporary dizziness, arm weakness",Transient Ischemic Attack (TIA)
I have dizziness,Heart Attack
Feeling itchy eyes,Conjunctivitis
Feeling fever,Rheumatoid Arthritis
"Woke up today with abdominal pain, pale stools and yellowing of skin and eyes.",Hepatitis A
"Doctor, I've had sneezing, nasal congestion, mild headache",Common Cold
"I have profuse sweating, headache, body ache",Malaria
Experiencing irregular periods,Polycystic Ovary Syndrome
"Suffering from morning headache, shortness of breath, nosebleeds and blurred vision, need medical guidance.",Hypertension
Feeling shivering chills,Malaria
"I have fatigue and slow wound healing, what could this be?",Scurvy
Feeling tremor,Multiple Sclerosis
"I have severe sharp flank pain, pain radiating to lower abdomen and groin, blood in urine and nausea, what could this be?",Kidney Stones
It started yesterday with irregular heartbeat and dizziness.,Electrolyte Imbalance
I've been dealing with nausea and vomiting and it is getting worse.,Pancreatitis
"Suffering from gas and food intolerance, need medical guidance.",Irritable Bowel Syndrome
I have eye irritation,Rosacea
"Over the last 48 hours, I noticed scratchy feeling, stringy mucus in eyes and blurred vision after reading.",Dry Eye Syndrome
"Experiencing sudden intense terror, pounding racing heart, trembling",Panic Disorder
I have fear of being judged or embarrassed,Social Anxiety Disorder
Woke up today with breathlessness with exercise and chest tightness during activity.,Aortic Stenosis
"I cannot sleep because of irregular heartbeat, confusion, numbness in fingers and extreme fatigue.",Electrolyte Imbalance
"Woke up today with shivering chills, headache and nausea.",Malaria
Experiencing coughing blood,Tuberculosis
"I'm experiencing dry persistent cough, fever and rapid shallow breathing.",Pleural Effusion
"Patient reports shortness of breath, nosebleeds, blurred vision and chest tightness with increasing discomfort.",Hypertension
I have nausea,Gastroenteritis
"Suffering from chronic diarrhea, bloating, iron deficiency",Celiac Disease
"Suffering from burning sensation when urinating, frequent urge to urinate, cloudy urine and strong smelling urine, need medical guidance.",Urinary Tract Infection
"Over the last 48 hours, I noticed bloody diarrhea, urgent need to defecate, cramping abdominal pain and fever.",Ulcerative Colitis
"Patient presenting with arm weakness, sudden severe headache, loss of balance",Stroke
"Doctor, I've had high fever, chills, body ache and fatigue for the past few days.",Influenza
"I have tingling in hands and feet, smooth red tongue, pale or jaundiced skin",Vitamin B12 Deficiency
I've been dealing with trembling and extreme fatigue and it is getting worse.,Postural Orthostatic Tachycardia (POTS)
"It started yesterday with blind spots, tingling in face or hands, throbbing head pain and light sensitivity.",Migraine with Aura
Feeling dry mouth,Dehydration
I cannot sleep because of fever and blisters over red area.,Cellulitis
I have pale skin,Iron Deficiency Anemia
Experiencing persistent fatigue,Heart Failure
I have joint and muscle aches,Scurvy
"I have pain with joint pressure and swelling and redness over shoulder elbow or hip, what could this be?",Bursitis
I have staring spells,Epilepsy
"Been having extreme thirst, frequent urination, extreme hunger",Diabetes Type 1
"Experiencing acute pink or cola-colored urine, foamy urine and swollen ankles.",Glomerulonephritis
"Suffering from low blood pressure, salt cravings, nausea and dizziness, need medical guidance.",Addison's Disease
"Noticed severe fatigue, unexplained weight gain, brittle hair",Hypothyroidism
Experiencing acute body ache and headache.,Influenza
"I cannot sleep because of loss of voice, tickling sensation in throat and dry cough.",Laryngitis
"Suffering from dark yellow urine, dizziness upon standing, sunken eyes",Dehydration
"Patient presenting with unexplained weight gain, constipation, brittle hair",Hypothyroidism
I'm experiencing increased thirst and tingling in hands and feet.,Diabetes Type 2
"I feel terrible with headache, anxiety and agitation.",Rabies Exposure
I have itchy fluid-filled blisters,Chickenpox
It started yesterday with bright red rectal bleeding and pain during bowel movements.,Hemorrhoids
Experiencing upper abdominal pain,Gastritis
"Doctor, I've had abdominal cramping, alternating diarrhea and constipation, mucus in stool and food intolerance for the past few days.",Irritable Bowel Syndrome
"Suffering from low-grade fever, loss of appetite, rebound tenderness",Appendicitis
"Lately I have been feeling pale skin, weakness and brittle nails.",Iron Deficiency Anemia
I cannot sleep because of flank pain on one side and shivering chills.,Pyelonephritis
"Woke up today with flank pain on one side, nausea and painful frequent urination.",Pyelonephritis
"I feel terrible with sharp ear pain, fluid draining from ear, fever and feeling of fullness in ear.",Otitis Media
"I'm experiencing numbness in limbs, electric shock sensations, tremor and fatigue.",Multiple Sclerosis
"Experiencing abdominal pain, yellowing of skin and eyes, loss of appetite",Hepatitis A
I have dizziness when rolling over in bed,Benign Paroxysmal Positional Vertigo
I cannot sleep because of muscle cramps and sunken eyes.,Cholera
"I have weight gain around abdomen, purple stretch marks, high blood pressure",Cushing's Syndrome
Experiencing sharp chest pain on breathing,Pulmonary Embolism
Feeling pounding racing heart,Panic Disorder
I have difficulty concentrating,Generalized Anxiety Disorder
"My main issues right now are shortness of breath, chest tightness and difficulty breathing.",Asthma
I have sour taste in mouth,GERD
I have skin peeling,Fungal Skin Infection
